Blocks,low_pharm,high_pharm,low_patient,high_patient
1,93740.9417,122017.333,1171.761771,1525.21667
2,56454.6375,73442,705.6829688,918.025
3,44025.8694,57250.2222,550.3233681,715.627778
4,37811.4854,49154.3333,472.6435677,614.429167
5,34082.855,44296.8,426.0356875,553.71
6,31597.1014,41058.4444,394.9637674,513.230556
7,29822,38745.3333,372.7695387,484.316667
8,28490,37010.5,356.1238672,462.63125
9,27454,35661.1852,343.1772338,445.764815
10,26626,34581.7333,332.8199271,432.271667
11,25993,33759.1515,324.9139489,421.989394
12,25424,33018.1111,317.8048003,412.726389
13,24943,32391.0769,311.789367,404.888462
14,24531,31853.619,306.6332813,398.170238
15,24173,31387.8222,302.1646736,392.347778
16,23860,30980.25,298.2546419,387.253125
17,23584.3691,30620.6275,294.804614,382.757843
18,23339.0338,30300.963,291.7379225,378.762037
19,23119.5232,30014.9474,288.9940406,375.186842
20,22922,29757.5333,286.5245469,371.969167
21,23252,30222.254,290.6478819,377.778175
22,23078,29994.7273,288.4697585,374.934091
23,22918,29786.9855,286.4810371,372.337319
24,22773,29596.5556,284.6580425,369.956944
25,22638,29421.36,282.9808875,367.767
26,22515,29259.641,281.4327444,365.745513
27,22400,29109.9012,279.9992785,363.873765
28,22293,28970.8571,278.6682031,362.135714
29,22194,28841.4023,277.428926,360.517529
30,22101.7814,28720.5778,276.2722674,359.007222
31,22031.3476,28629.0538,275.3918448,357.863172
32,21949.6909,28522.4167,274.3711361,356.530208
33,21872.9831,28422.2424,273.4122885,355.27803
34,21800.7875,28327.9608,272.5098438,354.09951
35,21732.7174,28239.0667,271.6589673,352.988333
36,21668.4289,28155.1111,270.8553617,351.938889
37,21607.6155,28075.6937,270.0951943,350.946171
38,21550.0029,28000.4561,269.3750356,350.005702
39,21495.3447,27929.0769,268.6918082,349.113462
40,21443.4194,27861.2667,268.0427422,348.265833
41,21648.4376,28145.5447,270.60547,351.819309
42,21595.3399,28075.8095,269.9417485,350.947619
43,21544.7118,28009.3178,269.3088978,350.116473
44,21496.385,27945.8485,268.704813,349.323106
45,21510.595,27980.2926,268.8824375,349.753657
46,21465.1111,27920.2138,268.3138881,349.002672
47,21421.5626,27862.6915,267.7695324,348.283644
48,21379.8286,27807.566,267.2478581,347.594575
49,21339.7981,27754.6905,266.7474766,346.933631
