Retention,low_cost,high_cost,low_ncd,high_ncd,low_dynamic,high_dynamic
0.05,881.6139904,1144.520513,603.2095724,783.0929825,669.2934776,880.1615385
0.1,848.9616204,1102.130864,573.0490938,743.9383333,644.5048302,847.562963
0.15,790.4125431,1026.121839,533.0689244,692.0356589,600.0562213,789.1103448
0.2,764.0654583,991.9177778,509.3769722,661.2785185,580.0543472,762.8066667
0.25,716.3113672,929.9229167,477.5409115,619.9486111,565.3647526,741.9802083
0.3,654.91325,850.2152381,440.8069952,572.2602564,516.9049167,678.3819048
0.35,619.5125338,804.2576577,409.3207813,531.3845238,488.9641104,641.7126126
0.4,573.0490938,743.9383333,382.0327292,495.9588889,452.2918021,593.5841667
0.45,520.9537216,676.3075758,347.3024811,450.8717172,411.1743655,539.6219697
0.5,477.5409115,619.9486111,318.3606076,413.2990741,376.9098351,494.6534722
0.55,424.4808102,551.0654321,286.5245469,371.9691667,335.0309645,439.6919753
0.6,382.0327292,495.9588889,254.6884861,330.6392593,301.5278681,395.7227778
0.65,332.2023732,431.268599,222.5433374,288.9080906,272.19875,356.5584541
0.7,286.5245469,371.9691667,191.0163646,247.9794444,234.7714219,307.5316667
0.75,238.7704557,309.9743056,159.1803038,206.649537,195.6428516,256.2763889
0.8,191.0163646,247.9794444,127.3442431,165.3196296,162.2646285,212.1808333
0.85,143.2622734,185.9845833,95.50818229,123.9897222,126.0112318,164.5054167
0.9,95.50818229,123.9897222,63.67212153,82.65981481,89.75783507,116.83
0.95,47.75409115,61.99486111,31.83606076,41.32990741,53.50443837,69.15458333
