Date,Planned,Actual,Village Screening
23/11/20 0:00,UdwantNagar Bajar,UdwantNagar Bajar,
23/11/20 0:00,Kasap,Kasap,
24/11/20 0:00,Belaur,Belaur,
24/11/20 0:00,Piania,Piania,
25/11/20 0:00,UdwantNagar Highway,KarjaBarja,
25/11/20 0:00,Ekawna,Gaura Bajar,
26/11/20 0:00,Asani,,
26/11/20 0:00,Bampali,Piro,
27/11/20 0:00,Gajrajganj,Gajrajganj,
27/11/20 0:00,,Rani Sagar,
27/11/20 0:00,Chakrahi Road,Chakrahi Road,
28/11/20 0:00,UdwantNagar Highway,UdwantNagar Highway,
28/11/20 0:00,Ekawna,,
29/11/20 0:00,,,
30/11/20 0:00,Asani,,
01/12/20 0:00,Belwania,,
02/12/20 0:00,Bampali,Bampali,
03/12/20 0:00,Behea Chaurasta,Behea Chaurasta,
04/12/20 0:00,Belaur,Belaur,
05/12/20 0:00,Behea Bajar,,
06/12/20 0:00,,,
07/12/20 0:00,Piania,Piania,
08/12/20 0:00,Balua Gaon,Kasap,
09/12/20 0:00,Ekawna,Ekawna,
10/12/20 0:00,KarjaBarja,KarjaBarja,
11/12/20 0:00,UdwantNagar Highway,UdwantNagar Highway,
12/12/20 0:00,Gaura Bajar,Gaura Bajar,
13/12/20 0:00,,,
14/12/20 0:00,UdwantNagar Bajar,UdwantNagar Bajar,
15/12/20 0:00,Piro,Piro,
16/12/20 0:00,Kasap,Kasap,
17/12/20 0:00,Katayan,Katayan,
18/12/20 0:00,,Balua Gaon,
19/12/20 0:00,Rani Sagar,,
20/12/20 0:00,,,
21/12/20 0:00,Gajrajganj,Gajrajganj,
22/12/20 0:00,,Rani Sagar,
23/12/20 0:00,UdwantNagar Bajar,UdwantNagar Bajar,
24/12/20 0:00,Asani,Asani,
25/12/20 0:00,,,
26/12/20 0:00,,,
27/12/20 0:00,,,
28/12/20 0:00,Bampali,Bampali,
28/12/20 0:00,Belaur,,
29/12/20 0:00,,,
30/12/20 0:00,,,
31/12/20 0:00,,,
01/01/21 0:00,,,
02/01/21 0:00,,,
03/01/21 0:00,,,
04/01/21 0:00,Kasap,Kasap,
05/01/21 0:00,Belwania,Belwania,
06/01/21 0:00,Ekawna,,
07/01/21 0:00,Behea Bajar,UdwantNagar Bajar,
08/01/21 0:00,UdwantNagar Highway,UdwantNagar Highway,
09/01/21 0:00,,,
10/01/21 0:00,,,
11/01/21 0:00,Asani,Asani,
12/01/21 0:00,Balua Gaon,Balua Gaon,
13/01/21 0:00,Bampali,Bampali,
14/01/21 0:00,KarjaBarja,,
15/01/21 0:00,Zero Mile,KarjaBarja,
16/01/21 0:00,Gaura Bajar,,
17/01/21 0:00,,,
18/01/21 0:00,Gajrajganj,,
19/01/21 0:00,Piro,,
20/01/21 0:00,UdwantNagar Bajar,,
21/01/21 0:00,Katayan,,
22/01/21 0:00,Piania,Piania,
23/01/21 0:00,Rani Sagar,,
24/01/21 0:00,,,
25/01/21 0:00,Belaur,Gajrajganj,
26/01/21 0:00,,,
27/01/21 0:00,,,
28/01/21 0:00,Chakrahi Road,,
29/01/21 0:00,Behea Chaurasta,,
30/01/21 0:00,,,
31/01/21 0:00,,,
01/02/21 0:00,UdwantNagar Bajar,UdwantNagar Bajar,
02/02/21 0:00,Belwania,,
03/02/21 0:00,UdwantNagar Highway,UdwantNagar Highway,
04/02/21 0:00,Chakrahi Road,Chakrahi Road,
05/02/21 0:00,Rani Sagar,Rani Sagar,
06/02/21 0:00,,,
07/02/21 0:00,,,
08/02/21 0:00,Piania,Piania,
09/02/21 0:00,,,
10/02/21 0:00,Ekawna,,
11/02/21 0:00,Balua Gaon,Balua Gaon,
12/02/21 0:00,Kasap,Kasap,
13/02/21 0:00,,,
14/02/21 0:00,,,
15/02/21 0:00,Asani,Asani,
16/02/21 0:00,,,
17/02/21 0:00,Bampali,Bampali,
18/02/21 0:00,Gaura Bajar,Gaura Bajar,
19/02/21 0:00,KarjaBarja,KarjaBarja,
20/02/21 0:00,,,
21/02/21 0:00,,,
22/02/21 0:00,Kasap,Kasap,
23/02/21 0:00,Belwania,Belwania,
23/02/21 0:00,Piro,Piro,
24/02/21 0:00,Piania,Piania,
25/02/21 0:00,Belaur,Belaur,
25/02/21 0:00,Belaur,Belaur,
26/02/21 0:00,Chakrahi Road,Chakrahi Road,
27/02/21 0:00,Bampali,Bampali,
28/02/21 0:00,,,
01/03/21 0:00,Katayan,Katayan,
